extracted_text,uid,wiki_link,article_title,topic,question,model_name,model_id,generation_error,source_file,complexity_level,linguistic_correctness_naturalness,evaluation_error,evaluator_model_name,evaluator_model_id
"הארגון מפעיל מספר תוכניות:

HackDays/HackNights - (ימי קידוד\ערבי קידוד) המפגש מתחיל בהיכרות קצרה, כ",ec694fbd-2f0b-497a-bbf2-33d1a764519f,https://he.wikipedia.org/wiki/She_codes;,She codes;,Technology,כיצד משפיעים אירועי ה-HackDays על קידום הקריירה או על היצירה הטכנולוגית של המשתתפים בהם בטווח הארוך?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,,elsewhere_100 - elsewhere_100_q_openrouter.csv,0,5,,claude_3_7_sonnet_eval,anthropic/claude-3.7-sonnet
"גלגלי השיניים הפלנטריים וגלגל השמש נושקים, כך שהשפות שלהם מתגלגלות ללא החלקה. נקודה על השפה של גלגל ",87d1dfa4-7cbc-4698-bf77-7c230a03b630,https://he.wikipedia.org/wiki/גלגלי_שיניים_אפיציקליים,גלגלי שיניים אפיציקליים,Technology,כיצד משפיע השינוי במספר גלגלי השיניים הפלנטריים על יציבות המערכת ועל חלוקת העומס בין רכיביה?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,,elsewhere_100 - elsewhere_100_q_openrouter.csv,2,5,,claude_3_7_sonnet_eval,anthropic/claude-3.7-sonnet
"דימות תרמי (ידוע גם כרישום חום, הדמאה תרמית, תרמוגרפיה או תרמוגרפיית תת-אדום) הוא תחום מדעי פיזיקלי ",c566b6a0-289e-4bdc-863e-80e313bd8ed0,https://he.wikipedia.org/wiki/דימות_תרמי,דימות תרמי,Technology,באילו מגזרים מקצועיים או תחומי מחקר נעשה כיום השימוש הנרחב והמשמעותי ביותר בטכנולוגיית הדימות התרמי?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,,elsewhere_100 - elsewhere_100_q_openrouter.csv,2,5,,claude_3_7_sonnet_eval,anthropic/claude-3.7-sonnet
"הצבע ירוק בקבוק הוא גוון ירוק כהה, בו צבועים בקבוקי בירה מסוימים. בקבוקי בירה אחרים וכן בקבוקי חומץ ",b3a1d19c-d030-4391-8cb1-e1f2907b3aa5,https://he.wikipedia.org/wiki/בקבוק,בקבוק,Technology,"מדוע בוחרים יצרני בירה דווקא בגוון ירוק כהה עבור בקבוקי הזכוכית שלהם, והאם יש לכך השפעה על איכות המשקה?",gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,,elsewhere_100 - elsewhere_100_q_openrouter.csv,2,5,,claude_3_7_sonnet_eval,anthropic/claude-3.7-sonnet
"בתכנון של קווים בזרימה דו-פאזית משתדלים למנוע מצב כזה.
הלם כתוצאה מרתיחה מהירה כאשר נוצר מגע בין גז ",e3f86c0f-0f24-48f1-89cd-d64604cc3bd6,https://he.wikipedia.org/wiki/הלם_מים,הלם מים,Technology,מהם הצעדים ההנדסיים המעשיים שננקטים כדי למנוע את היווצרות ההלם במערכות כאלו?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,,elsewhere_100 - elsewhere_100_q_openrouter.csv,2,5,,claude_3_7_sonnet_eval,anthropic/claude-3.7-sonnet
"במקרה של המדע, מדובר במכלול האמונות המדעיות של הקהילה המדעית כולה. וילארד קוויין טען לגישה קוהרנטציס",a4f9536d-7f3c-40e3-a46d-7adc0d86faf0,https://he.wikipedia.org/wiki/פילוסופיה_של_המדע,פילוסופיה של המדע,Science,כיצד לדעתך עשויה הגישה הקוהרנטיסטית להשפיע על האופן שבו מדענים מקבלים או דוחים תיאוריות חדשות שסותרות את הקונצנזוס הקיים?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,,elsewhere_100 - elsewhere_100_q_openrouter.csv,3,5,,claude_3_7_sonnet_eval,anthropic/claude-3.7-sonnet
"מאחר שבמקרים רבים גזים אינם מתנהגים כגז אידיאלי, גם לחוק זה נמצאו שיפורים עם השנים, למשל גז ואן-דר-ו",1e82bb76-2bb4-4b25-8c23-562049347b3f,https://he.wikipedia.org/wiki/חוק_טבע,חוק טבע,Science,באילו תנאים פיזיקליים ספציפיים משתנה התנהגותו של גז ממצב אידיאלי למצב שבו נדרש מודל מורכב יותר כמו משוואת ואן-דר-ואלס?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,,elsewhere_100 - elsewhere_100_q_openrouter.csv,0,5,,claude_3_7_sonnet_eval,anthropic/claude-3.7-sonnet
המתמטיקה היא שיטה לוגית אחידה המחברת תצפיות לתוצאות ניסויים ולתאוריה המסבירה אותם. אחרים טוענים שהיא,713eda79-099d-41da-aa4b-5a8ef2a521fc,https://he.wikipedia.org/wiki/מדע,מדע,Science,מדוע קיימת מחלוקת פילוסופית עמוקה בנוגע לשאלה האם המתמטיקה היא תגלית אנושית או המצאה מופשטת שאינה תלויה בתצפיות?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,,elsewhere_100 - elsewhere_100_q_openrouter.csv,0,5,,claude_3_7_sonnet_eval,anthropic/claude-3.7-sonnet
"כך לדוגמה
פתולוגיה של צמחים (פיטופתולוגיה) שהיא תחום מחקר יישומי שנועד לחקור ולמונע מחלות בצמחים, נה",12f9f79c-e763-4fea-af56-c2870289dbf6,https://he.wikipedia.org/wiki/מדע_שימושי,מדע שימושי,Science,אילו השלכות כלכליות או סביבתיות יש להתפרצות מחלות צמחים בגידולים חקלאיים על הביטחון התזונתי העולמי?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,,elsewhere_100 - elsewhere_100_q_openrouter.csv,0,5,,claude_3_7_sonnet_eval,anthropic/claude-3.7-sonnet
"ישנם גם פילוסופים המדגישים את חוסר האחדות של המדע, מה שלא אומר בהכרח שלא יכולה להיות אחדות במובן מסו",87f1d453-dc82-4e16-8302-692afe524bb3,https://he.wikipedia.org/wiki/אחדות_המדע,אחדות המדע,Science,כיצד לדעתכם עשויה להיראות חלופה פילוסופית המיישבת בין גיוון הדיסציפלינות המדעיות לבין השאיפה להסבר מאוחד על העולם?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,,elsewhere_100 - elsewhere_100_q_openrouter.csv,3,5,,claude_3_7_sonnet_eval,anthropic/claude-3.7-sonnet
"מחקר קודם הציע כי שיפור ופיתוח סיבולת בקרב אתלטים מאומנים יכול להיעשות באמצעות שיטת ה-HIIT.
מחקר שער",7c8b073c-5e90-407d-b7b1-f443885dfd6b,https://he.wikipedia.org/wiki/HIIT,HIIT,Sports,אילו חסרונות או מגבלות עשויים לעלות בשימוש בשיטת ה-HIIT בהשוואה לשיטות אימון מסורתיות אחרות לשיפור סיבולת?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,,elsewhere_100 - elsewhere_100_q_openrouter.csv,0,5,,claude_3_7_sonnet_eval,anthropic/claude-3.7-sonnet
"אנרי השני, מלך צרפת, הוא אחד הקורבנות המפורסמים של הטורניר. הוא נהרג בשוגג כאשר חנית שבורה חדרה בטעו",6706762e-cf56-4cf8-bd17-865cd1bf647b,https://he.wikipedia.org/wiki/טורניר,טורניר,Sports,כיצד השפיע מותו הטראגי של אנרי השני במהלך הטורניר על המשך קיומם של אירועי אבירים מסוג זה באירופה?,gemini_3_1_flash_lite,google/gemini-3.1-flash-lite-preview,,elsewhere_100 - elsewhere_100_q_openrouter.csv,0,5,,claude_3_7_sonnet_eval,anthropic/claude-3.7-sonnet
